subflow_fwd_bytes,avg_fwd_segment_size,fwd_packet_length_max,fwd_act_data_packets,fwd_packet_length_mean,fwd_iat_std,fwd_packets_length_total,init_fwd_win_bytes,subflow_fwd_packets,fwd_header_length,record_id,event_time,label
82,41.0,41,1,41.0,0.0,82,-1,2,40,2f7e1530-8783-414a-84bb-dd1e2288b357,1749057104.0,0
26,8.666667,20,2,8.666667,411.53613,26,8192,3,72,f3c0b6c8-f0ff-4d48-adc8-e95915b8d3a1,1749057104.0,1
24,6.0,6,3,6.0,2781648.8,24,256,4,80,6d784845-e83f-4445-9e1d-e1c4fde80efa,1749057104.0,1
26,8.666667,20,2,8.666667,1477.8531,26,8192,3,72,3f4a4d98-a2ab-4444-a19d-70c7e1d1be06,1749057104.0,1
45,45.0,45,0,45.0,0.0,45,-1,1,32,eb10e5d7-8a94-4f69-91f3-52a158745b55,1749057104.0,0
30,6.0,6,4,6.0,2013162.9,30,256,5,100,9d794fda-5357-43a7-9c49-92f9bdb80a70,1749057104.0,1
62,6.888889,20,7,6.888889,32300000.0,62,256,9,192,8b3bc0aa-565b-4b32-9236-47accd85f95d,1749057104.0,1
26,8.666667,20,2,8.666667,472.34732,26,8192,3,72,84a6b587-469b-4f5e-957f-58386190ed42,1749057104.0,1
12,6.0,6,1,6.0,0.0,12,256,2,40,6ef57ee0-0e0f-43b3-bd0c-75dbcb429cb6,1749057104.0,0
11607,1934.5,5840,4,1934.5,27638.65,11607,8192,6,144,eaf52eff-d23d-4c3b-88f3-bda63de4f296,1749057104.0,0
6,6.0,6,0,6.0,0.0,6,229,1,20,2bcd9a4f-53e9-46a7-b341-cb381c913d11,1749057104.0,0
24,6.0,6,3,6.0,1429878.1,24,256,4,80,09db32ca-20c4-4200-8d68-00247b294c0c,1749057104.0,1
90,45.0,45,1,45.0,0.0,90,-1,2,40,1c2396c8-53ac-4494-b5d8-25afc2729657,1749057104.0,0
26,8.666667,20,2,8.666667,717.7134,26,8192,3,72,96bac612-bf9c-414a-b6fc-4a3fb9b0429a,1749057104.0,1
26,8.666667,20,2,8.666667,30440.24,26,8192,3,72,c8afb555-e25d-4090-85b9-ef43028c8b3a,1749057104.0,1
56,7.0,20,6,7.0,24500000.0,56,256,8,172,9fca0dea-624c-4a3d-9ba8-227da86fe231,1749057104.0,1
56,7.0,20,6,7.0,26200000.0,56,256,8,172,fed5cd50-87eb-40bf-bd86-e051f97e4073,1749057104.0,1
30,6.0,6,4,6.0,1224185.4,30,256,5,100,ca76fe4d-891f-4a2c-a6df-1fa522e4f8d7,1749057104.0,1
0,0.0,0,0,0.0,0.0,0,30016,2,64,6523a908-a70e-4485-9db6-867a36ab3159,1749057104.0,0
94,47.0,47,1,47.0,0.0,94,-1,2,64,48e0df10-b241-457f-85a2-481a47b04f80,1749057104.0,0
26,8.666667,20,2,8.666667,374.05948,26,8192,3,72,cf6105bb-88ad-48ac-b467-1e9c227b119b,1749057104.0,1
30,6.0,6,4,6.0,4935244.0,30,256,5,100,64566056-2fad-455a-88f0-f14d4949c4e0,1749057104.0,1
26,8.666667,20,2,8.666667,3440.0745,26,8192,3,72,065d17fa-372f-41f6-888c-8c3c746f92c7,1749057104.0,1
26,8.666667,20,2,8.666667,12018.694,26,8192,3,72,fe9d1667-7bc4-4396-8567-8e95c2fe48b9,1749057104.0,1
56,7.0,20,6,7.0,23800000.0,56,256,8,172,7ded6950-9879-413a-8707-165974aed2fd,1749057104.0,1
51,51.0,51,0,51.0,0.0,51,-1,1,20,b9d86f9c-2da4-49c4-802c-42528c9748f7,1749057104.0,0
26,8.666667,20,2,8.666667,447.5986,26,8192,3,72,e1c2b387-f105-4f73-9481-e0c91eb8a35e,1749057104.0,1
26,8.666667,20,2,8.666667,337.28995,26,8192,3,72,f7834363-2c36-4b7a-b1e6-8b3e9561d928,1749057104.0,1
24,6.0,6,3,6.0,3169245.5,24,256,4,80,7df5de9d-4719-4ab7-8d79-a329a450318e,1749057104.0,1
11601,2320.2,10220,3,2320.2,25488.588,11601,8192,5,124,6c80e6df-948d-4142-92bc-80c9fec55e24,1749057104.0,0
74,37.0,37,1,37.0,0.0,74,-1,2,40,70052c25-81b0-42f8-a0df-5dc85a62a3c1,1749057104.0,0
1034,68.933334,168,13,68.933334,3926259.2,1034,8192,15,324,32d8ed1a-0926-4f4f-a460-66c460980872,1749057104.0,0
24,6.0,6,3,6.0,6751944.5,24,256,4,80,e19221d1-bbff-45ac-8164-9ff916d3a95e,1749057104.0,1
24,6.0,6,3,6.0,1032857.7,24,256,4,80,3d8108b6-de6e-4dab-8b91-32f8e0439143,1749057104.0,1
6,6.0,6,0,6.0,0.0,6,229,1,20,25701cc5-664a-47fb-823b-751a7ad5e671,1749057104.0,0
248,124.0,242,1,124.0,0.0,248,288,2,40,d7c75267-79ce-4369-8049-4edce0938b30,1749057104.0,0
26,8.666667,20,2,8.666667,5262.2886,26,8192,3,72,62082de0-45c9-474f-9274-e17fb1e732eb,1749057104.0,1
56,7.0,20,6,7.0,29700000.0,56,256,8,172,fd7f4650-2392-4ef9-ae9b-1b641a49e9b5,1749057104.0,1
30,6.0,6,4,6.0,2067057.5,30,256,5,100,dd106065-bd44-405d-9a70-ac891282e55e,1749057104.0,1
56,7.0,20,6,7.0,35400000.0,56,256,8,172,23679fb7-3661-4483-a746-8cbb2f5a262b,1749057104.0,1
26,8.666667,20,2,8.666667,568.51385,26,8192,3,72,57d9ee48-deb1-421b-96aa-3d138b81bfd6,1749057104.0,1
30,6.0,6,4,6.0,5958368.5,30,256,5,100,4f37eed8-e1bb-4840-ab04-f133c11d8c3e,1749057104.0,1
292,36.5,38,7,36.5,6504116.0,292,-1,8,232,a2160189-8f27-4714-8466-452e1fac02d7,1749057104.0,0
55,55.0,55,0,55.0,0.0,55,-1,1,32,0d263e56-871c-43c3-ba07-209d7db23395,1749057104.0,0
0,0.0,0,0,0.0,0.0,0,52,1,32,e904e509-fa4d-4fed-8772-194781b3dd1f,1749057104.0,0
12,6.0,6,1,6.0,0.0,12,253,2,40,98c20588-658b-4e72-bcd8-c109248d8342,1749057104.0,0
26,8.666667,20,2,8.666667,475.17575,26,8192,3,72,a3acd5a3-c882-45fa-a711-b77db225f50a,1749057104.0,1
48,48.0,48,0,48.0,0.0,48,-1,1,20,df875d59-b722-4467-8387-c5e9a8e36500,1749057104.0,0
30,6.0,6,4,6.0,1525944.4,30,256,5,100,4676bbd8-d724-4f98-a2cf-6f7f9c176600,1749057104.0,1
26,8.666667,20,2,8.666667,18687.418,26,8192,3,72,c1781f08-240f-47a6-98c3-f4ee028db1c8,1749057104.0,1
80,40.0,40,1,40.0,0.0,80,-1,2,40,d036d97f-0fb2-4aec-88b1-908681c9fa2a,1749057104.0,0
26,8.666667,20,2,8.666667,5820.903,26,8192,3,72,25a91299-c266-4e53-a224-6c3cb3be9248,1749057104.0,1
24,6.0,6,3,6.0,85932.54,24,256,4,80,cf1b502b-8f44-42ff-86f3-d5c840819120,1749057104.0,1
26,8.666667,20,2,8.666667,1746.5537,26,8192,3,72,d741decd-296b-4d29-98ba-1172e366cade,1749057104.0,1
26,8.666667,20,2,8.666667,22628.832,26,8192,3,72,27105d8a-60b9-4c60-bbda-ae94173fb23d,1749057104.0,1
30,6.0,6,4,6.0,5600163.0,30,256,5,100,29e4ac0e-f63f-45de-823f-3802031e1220,1749057104.0,1
26,8.666667,20,2,8.666667,328.09753,26,8192,3,72,9d1b7e0a-2a48-40ef-b920-dfd6dc7a61be,1749057104.0,1
80,40.0,40,1,40.0,0.0,80,-1,2,80,d006c22f-991a-45b8-a5d6-b106bf40eb32,1749057104.0,0
26,8.666667,20,2,8.666667,548.00775,26,8192,3,72,91ee40d5-087c-4880-acfb-708f75143493,1749057104.0,1
30,6.0,6,4,6.0,842333.56,30,256,5,100,ff06f6c1-2478-4126-b2c4-51c0ca03e5db,1749057104.0,1
579,193.0,579,1,193.0,151378.12,579,29200,3,104,401cfac8-3900-453c-b28d-bfe60568a638,1749057104.0,0
60,30.0,30,1,30.0,0.0,60,-1,2,40,147aebc8-ec65-4eec-b3d7-df429598619f,1749057104.0,0
26,8.666667,20,2,8.666667,13299.972,26,8192,3,72,3bbdeb3d-32a6-4491-afb7-dd9d97906559,1749057104.0,1
24,6.0,6,3,6.0,3496131.2,24,256,4,80,d1e21a37-4f83-4c59-b487-a7e61326250e,1749057104.0,1
26,8.666667,20,2,8.666667,1035.2043,26,8192,3,72,43ffa766-01d9-4def-a45b-e345fc3b609e,1749057104.0,1
56,7.0,20,6,7.0,31700000.0,56,256,8,172,e52f5912-da46-45cd-8684-f796e1296520,1749057104.0,1
12976,2162.6667,4380,4,2162.6667,45900000.0,12976,229,6,132,04650e1d-7f06-46f6-8ddb-d64159ed258f,1749057104.0,0
26,8.666667,20,2,8.666667,9890.303,26,8192,3,72,5000e6b1-f366-4e4b-916e-6f486e04b091,1749057104.0,1
30,6.0,6,4,6.0,1815626.8,30,256,5,100,31a84612-189a-4694-8304-0b0e3a5e140a,1749057104.0,1
390,48.75,209,7,48.75,2031481.1,390,8192,8,172,ffaa8b49-5156-41d2-b357-587f53e337fa,1749057104.0,0
136,34.0,34,3,34.0,38230.98,136,-1,4,80,f23c3302-28f1-4888-8708-136dec72a804,1749057104.0,0
0,0.0,0,0,0.0,2927436.2,0,8192,3,92,7fcc961b-1ff4-4cd5-906d-220f62fde5e9,1749057104.0,0
6,6.0,6,0,6.0,0.0,6,229,1,20,7f09690d-58df-4e7b-a01b-20304d4346ae,1749057104.0,0
56,7.0,20,6,7.0,27700000.0,56,256,8,172,9c73cb9c-b3bb-4853-b13d-6f2750068c91,1749057104.0,1
26,8.666667,20,2,8.666667,550.8362,26,8192,3,72,d77ae4bb-7b6a-41a4-af4a-cfd94b30de6c,1749057104.0,1
26,8.666667,20,2,8.666667,6265.6733,26,8192,3,72,71305aae-428b-435c-a9af-7e609e7dc4c6,1749057104.0,1
6,6.0,6,0,6.0,0.0,6,229,1,20,a8dbf189-7914-4836-9d05-807b9ef2cc72,1749057104.0,0
1375,1375.0,1375,0,1375.0,0.0,1375,229,1,20,c7d3ff7d-1b80-4979-8743-1d56bbd52ca1,1749057104.0,0
24,6.0,6,3,6.0,4592418.0,24,256,4,80,3396453b-f337-4040-ab97-2a8255587a97,1749057104.0,1
1400,40.0,572,34,40.0,4811517.0,1400,29200,35,720,c7fdaa51-7377-46a8-9319-db10e17b00cb,1749057104.0,0
26,8.666667,20,2,8.666667,583.3631,26,8192,3,72,add98fa4-6eb5-4221-9869-27b227a0610d,1749057104.0,1
26,8.666667,20,2,8.666667,11395.025,26,8192,3,72,efe7eef6-7caf-44e6-ad56-90896da8608f,1749057104.0,1
56,7.0,20,6,7.0,27900000.0,56,256,8,172,6cf53e8d-28c9-4e41-90bf-416700e9b96a,1749057104.0,1
30,6.0,6,4,6.0,72698.62,30,256,5,100,f70617d8-1409-4b52-9c24-f7c5425f8847,1749057104.0,1
26,8.666667,20,2,8.666667,15530.187,26,8192,3,72,aa59b72b-5ad4-4b43-abd5-121061339448,1749057104.0,1
26,8.666667,20,2,8.666667,376.18082,26,8192,3,72,8e9f71de-70ae-4711-92c2-6129aad087f5,1749057104.0,1
26,8.666667,20,2,8.666667,352.84628,26,8192,3,72,59e42014-3a71-4f65-a83f-c70b5e4e12b4,1749057104.0,1
30,6.0,6,4,6.0,2140448.0,30,256,5,100,d5f3816c-df22-49d1-9cfe-76a3b158172e,1749057104.0,1
759,126.5,735,5,126.5,4405647.5,759,29200,6,140,38b3fb63-7087-4202-a3d6-f7ddda94aa32,1749057104.0,0
26,8.666667,20,2,8.666667,3770.2935,26,8192,3,72,214b5abc-cdcb-452f-b469-6549390f682e,1749057104.0,1
30,6.0,6,4,6.0,43168.86,30,256,5,100,95adbb10-da91-4602-8eeb-546782de42c0,1749057104.0,1
56,7.0,20,6,7.0,25400000.0,56,256,8,172,ff97b093-ff41-4d9f-9223-5ae3743e810b,1749057104.0,1
0,0.0,0,0,0.0,0.0,0,263,1,32,721acd9a-583d-426f-b0da-fe83198a8bdd,1749057104.0,0
62,6.888889,20,7,6.888889,23000000.0,62,256,9,192,9cb130e4-b427-40d3-88b9-e979b4d76dce,1749057104.0,1
64,32.0,32,1,32.0,0.0,64,-1,2,64,919fbdc3-f7fd-422d-9aed-2d6761a64cea,1749057104.0,0
12,6.0,6,1,6.0,0.0,12,253,2,40,38172174-3979-4a7d-86e2-dd3d8ae9d879,1749057104.0,0
26,8.666667,20,2,8.666667,8578.619,26,8192,3,72,dad2b579-6198-4497-886d-013ad607d119,1749057104.0,1
1034,68.933334,168,13,68.933334,2815405.2,1034,8192,15,324,c1f7617e-8327-4036-a2bb-95adf54b4694,1749057104.0,0
26,8.666667,20,2,8.666667,409.41483,26,8192,3,72,26c46299-2aff-4c05-8c6c-723a6ad3edf2,1749057104.0,1
66,33.0,33,1,33.0,0.0,66,-1,2,40,9990df61-d2ea-4308-856a-9c1a120a623b,1749057104.0,0
12,6.0,6,1,6.0,0.0,12,256,2,40,03dadba3-cd24-44d9-a47c-586d7f1f1227,1749057104.0,0
62,31.0,31,1,31.0,0.0,62,-1,2,40,7a2d9fa1-58de-43ce-bb64-a459e1e386d0,1749057104.0,0
26,8.666667,20,2,8.666667,479.4184,26,8192,3,72,572d0a8f-28c8-4946-94ee-60873d666521,1749057104.0,1
389,24.3125,305,15,24.3125,4158501.8,389,8192,16,332,ab6e01c5-b7c3-462d-bf24-7c07bcc64e3c,1749057104.0,0
24,6.0,6,3,6.0,1732788.1,24,256,4,80,19c755d6-2233-41a5-b5e1-bb585534f04b,1749057104.0,1
56,7.0,20,6,7.0,31200000.0,56,256,8,172,74ecf911-874d-4adb-82c0-d619facc7f87,1749057104.0,1
64,32.0,32,1,32.0,0.0,64,-1,2,64,19df4981-0073-4f0d-b43c-3b737624bbc2,1749057104.0,0
26,8.666667,20,2,8.666667,2573.8687,26,8192,3,72,b77a05ab-16a5-4369-acb4-95fd90e07e56,1749057104.0,1
56,7.0,20,6,7.0,33100000.0,56,256,8,172,000280a9-c1da-45de-87f4-af1eed55180c,1749057104.0,1
26,8.666667,20,2,8.666667,2784.5864,26,8192,3,72,26740d20-94a8-42d4-b47e-ed4be60ba787,1749057104.0,1
371,41.22222,190,7,41.22222,1524981.6,371,8192,9,204,708cfce9-6af8-4545-a14a-e344d19a8366,1749057104.0,0
11601,1657.2858,4380,5,1657.2858,71872.4,11601,8192,7,164,f11deae3-fb87-447f-999f-fcc302bee9e0,1749057104.0,0
6,6.0,6,0,6.0,0.0,6,16155,1,20,e4b0e76f-6a47-455d-a258-397b395c5b97,1749057104.0,0
62,6.888889,20,7,6.888889,24200000.0,62,256,9,192,b102af02-4932-4aff-b610-0ac075407c57,1749057104.0,1
12,6.0,6,1,6.0,0.0,12,253,2,40,099439e0-c287-4475-a7bc-785df36dbbb7,1749057104.0,0
26,8.666667,20,2,8.666667,2414.7698,26,8192,3,72,57ec8d3b-faa1-422c-bad6-f795b0891dbb,1749057104.0,1
24,6.0,6,3,6.0,1901746.5,24,256,4,80,50bbf653-c3b4-42d1-8fda-7c6659eaa74e,1749057104.0,1
26,8.666667,20,2,8.666667,6651.7534,26,8192,3,72,edd1458b-5dc0-4055-9fe5-ad99e318bc1c,1749057104.0,1
56,7.0,20,6,7.0,24800000.0,56,256,8,172,5f652504-0cc4-4cdb-9754-bf7837d351a3,1749057104.0,1
24,6.0,6,3,6.0,4627521.0,24,256,4,80,c31a5937-0d74-49b1-b213-d7510364e521,1749057104.0,1
53,53.0,53,0,53.0,0.0,53,-1,1,20,bfd2583e-4bf0-42e1-9362-13a5d250bf24,1749057104.0,0
6,6.0,6,0,6.0,0.0,6,0,1,20,00e35a59-b689-424c-896a-dc20986eaf42,1749057104.0,0
1784,137.23077,1087,12,137.23077,5164795.5,1784,8192,13,272,32e4318a-adb6-410c-9bb8-bcfe446b067c,1749057104.0,0
872,39.636364,373,21,39.636364,4928299.5,872,8192,22,452,a58cd88a-7d5a-4dc8-9df9-8408ba01fe6d,1749057104.0,0
26,8.666667,20,2,8.666667,3486.0364,26,8192,3,72,2af76cb9-1006-4782-b5c5-7ccccea4e3aa,1749057104.0,1
26,8.666667,20,2,8.666667,14854.192,26,8192,3,72,b6e0c079-9e26-4edd-b243-39957dde5ec4,1749057104.0,1
30,6.0,6,4,6.0,1418130.2,30,256,5,100,8ea6e2b4-25c3-473b-ab7c-ed1e71d4e2e8,1749057104.0,1
24,6.0,6,3,6.0,2403959.2,24,256,4,80,d8d86562-c831-4562-9e34-3c518d41cc66,1749057104.0,1
56,7.0,20,6,7.0,33000000.0,56,256,8,172,4b5a5883-746c-4cea-8ed5-d0fcabac77f0,1749057104.0,1
43,14.333333,31,2,14.333333,197.28279,43,158,3,60,6b6a1726-cd58-4d40-b9f4-c3a0d35035ca,1749057104.0,0
6,6.0,6,0,6.0,0.0,6,229,1,20,9cb4c220-b9c0-4ea1-b2d4-33e8531ffdeb,1749057104.0,0
50,7.142857,20,5,7.142857,2927163.5,50,256,7,152,bf9d5741-760c-4cca-836c-6c1aa4cb2d4f,1749057104.0,1
26,8.666667,20,2,8.666667,4231.327,26,8192,3,72,a7d4c369-a46b-4673-bc58-69dd033c116a,1749057104.0,1
85,85.0,85,0,85.0,0.0,85,-1,1,32,900a8716-1d69-4722-aa45-04981739bfa9,1749057104.0,0
24,6.0,6,3,6.0,4260737.0,24,256,4,80,d67d2b67-bfef-4bc7-979d-a9651af89d2c,1749057104.0,1
26,8.666667,20,2,8.666667,189.50462,26,8192,3,72,c81defe4-34da-4222-82c0-a991ab121bd6,1749057104.0,1
30,6.0,6,4,6.0,5607518.5,30,256,5,100,71eec7d6-94de-4c10-b200-02fea3c1c35f,1749057104.0,1
11607,2321.4,8760,3,2321.4,36200000.0,11607,229,5,112,63e67e56-3566-440d-90c9-1f7f62710416,1749057104.0,0
6,6.0,6,0,6.0,0.0,6,229,1,20,0809fdbb-7dd9-4926-b1e3-1ae9cf0730d7,1749057104.0,0
56,7.0,20,6,7.0,32000000.0,56,256,8,172,1d999d8e-a1dd-4f74-8483-572e3b52e7c8,1749057104.0,1
6592,49.939392,683,130,49.939392,6177476.0,6592,8192,132,2664,ceedfa7f-db14-4fe6-9692-eec69ad3d957,1749057104.0,0
30,6.0,6,4,6.0,2646854.2,30,256,5,100,ded43894-ba9c-43ae-8dc5-0ef290386291,1749057104.0,1
46,46.0,46,0,46.0,0.0,46,-1,1,32,f97e7652-51c0-4c20-bcf3-8118460ae88a,1749057104.0,0
26,8.666667,20,2,8.666667,331.6331,26,8192,3,72,fcb1b0ed-9305-41b9-8f1a-9aab61115130,1749057104.0,1
11607,2321.4,8760,3,2321.4,47900000.0,11607,229,5,112,2456f5c6-7a16-4346-80c1-259cb50e6845,1749057104.0,0
167,27.833334,149,4,27.833334,53600000.0,167,65535,6,144,128ef276-5855-448e-8823-010eb30d3aae,1749057104.0,0
6,6.0,6,0,6.0,0.0,6,229,1,20,21bc4002-86ac-411e-9c24-922610392e85,1749057104.0,0
30,6.0,6,4,6.0,3965401.5,30,256,5,100,ca713598-a851-46f0-ac3c-1534ffa77f7a,1749057104.0,1
62,6.888889,20,7,6.888889,30100000.0,62,256,9,192,cadb02c9-8877-467f-9bc5-b216b1c9c6e1,1749057104.0,1
26,8.666667,20,2,8.666667,309.71277,26,8192,3,72,336dd77b-06e3-4df3-ad51-12d98553172f,1749057104.0,1
26,8.666667,20,2,8.666667,22322.654,26,8192,3,72,d2ba41d3-2196-4c84-82ea-0636d71f04b1,1749057104.0,1
569,51.727272,196,10,51.727272,481257.16,569,8192,11,232,9de405df-2bb9-4c61-b28d-7d7b6ff0bc5d,1749057104.0,0
26,8.666667,20,2,8.666667,5645.5405,26,8192,3,72,f4f42d16-b948-425f-a98c-f6e0ffb18bac,1749057104.0,1
30,6.0,6,4,6.0,3576760.2,30,256,5,100,a8678970-4e22-4de8-a6d6-74f039bd236e,1749057104.0,1
6,6.0,6,0,6.0,0.0,6,229,1,20,5975bee7-4911-43b8-9ffb-841664fc1dfa,1749057104.0,0
62,62.0,62,0,62.0,0.0,62,-1,1,32,8bc89a86-4c92-4c91-9ec1-0f4b70702a26,1749057104.0,0
26,8.666667,20,2,8.666667,360.62445,26,8192,3,72,d6d51d6a-84d2-4ea9-8dc5-b89e03e9aaa1,1749057104.0,1
84,42.0,42,1,42.0,0.0,84,-1,2,40,4f1eb0e6-6db2-47b4-9686-78d9caf21729,1749057104.0,0
56,7.0,20,6,7.0,24800000.0,56,256,8,172,f30df724-9b8c-4c18-9446-a57f74589c3b,1749057104.0,1
6,6.0,6,0,6.0,0.0,6,229,1,20,4748c49f-dce7-4d4c-bc99-87eda011a14d,1749057104.0,0
427,142.33333,421,2,142.33333,23101.178,427,8192,3,72,c814c5ee-0182-4cb5-bbf5-35b37f6e9e14,1749057104.0,0
0,0.0,0,0,0.0,0.0,0,30016,2,64,946d901e-e9bd-45e3-a514-bf93dd2b892a,1749057104.0,0
26,8.666667,20,2,8.666667,4000.81,26,8192,3,72,f88099a8-65d2-4caf-bb57-4be0f858b8cf,1749057104.0,1
11607,1934.5,7300,4,1934.5,511222.53,11607,8192,6,144,6fb16239-2fc7-4b4e-a883-421c13009fc7,1749057104.0,0
30,6.0,6,4,6.0,5315502.5,30,256,5,100,a0401d2a-41d0-40b0-8d52-b600faaa2955,1749057104.0,1
6,6.0,6,0,6.0,0.0,6,229,1,20,3556ba2f-5829-44f4-adc7-6fc056af4db3,1749057104.0,0
12,6.0,6,1,6.0,0.0,12,5001,2,40,e6bc43b7-ace9-4f7f-8d5d-5ca593594007,1749057104.0,0
6,6.0,6,0,6.0,0.0,6,229,1,20,0d15d510-c98e-4fe5-a461-cb96fed62278,1749057104.0,0
26,8.666667,20,2,8.666667,369.10974,26,8192,3,72,39c7481b-12de-457c-95f4-b2d103e00335,1749057104.0,1
11601,1933.5,4380,4,1933.5,600065.3,11601,8192,6,144,c181b933-558a-4013-8a6c-19470dda94cb,1749057104.0,0
56,7.0,20,6,7.0,37200000.0,56,256,8,172,7ba4d5ca-fbc9-465d-a09a-3507b73b43bd,1749057104.0,1
20,10.0,20,1,10.0,0.0,20,8192,2,52,b7e1b3a9-9ba0-417c-a620-0946ea6fa02f,1749057104.0,1
74,37.0,37,1,37.0,0.0,74,-1,2,40,624afba0-84af-4fed-b344-f79dbd628a9c,1749057104.0,0
30,6.0,6,4,6.0,3059590.8,30,256,5,100,0e440978-ee60-4efd-a269-a60bcc971008,1749057104.0,1
24,6.0,6,3,6.0,3705043.2,24,256,4,80,b45c7eea-5446-4f74-847d-5e7dfc38d46f,1749057104.0,1
1079,83.0,517,3,83.0,5238840.0,1079,29200,13,424,94bed4c9-ddb9-4296-898a-ee9397551a40,1749057104.0,0
